0.0000 	DATA 	** START exposure **
0.0050 	DATA 	Trial 1 - Stimuli img/target_10.png
5.8012 	DATA 	Keypress: j
5.8175 	DATA 	Keypress: k
6.0927 	DATA 	Trial 2 - Stimuli img/target_15.png
7.4017 	DATA 	Keypress: k
7.5211 	DATA 	Keypress: l
10.2653 	DATA 	Keypress: l
10.3527 	DATA 	Keypress: semicolon
10.5400 	DATA 	Trial 3 - Stimuli img/target_13.png
12.6570 	DATA 	Keypress: k
12.7206 	DATA 	Keypress: l
12.9405 	DATA 	Trial 4 - Stimuli img/target_8.png
15.6972 	DATA 	Keypress: space
15.7692 	DATA 	Keypress: l
15.9912 	DATA 	Trial 5 - Stimuli img/target_6.png
17.3773 	DATA 	Keypress: space
17.4806 	DATA 	Keypress: k
19.2166 	DATA 	Keypress: j
19.2648 	DATA 	Keypress: space
19.4909 	DATA 	Trial 6 - Stimuli img/target_8.png
20.7533 	DATA 	Keypress: l
21.3287 	DATA 	Keypress: l
22.0726 	DATA 	Keypress: space
22.4965 	DATA 	Keypress: l
24.5610 	DATA 	Keypress: l
25.1363 	DATA 	Keypress: space
26.2489 	DATA 	Keypress: space
26.4569 	DATA 	Keypress: l
28.6491 	DATA 	Keypress: l
29.5202 	DATA 	Keypress: space
31.4169 	DATA 	Keypress: space
31.5922 	DATA 	Keypress: l
31.6925 	DATA 	Trial 7 - Stimuli img/target_11.png
33.9441 	DATA 	Keypress: j
34.2003 	DATA 	Keypress: l
35.2079 	DATA 	Keypress: l
35.3285 	DATA 	Keypress: j
35.4759 	DATA 	Trial 8 - Stimuli img/target_8.png
38.4885 	DATA 	Keypress: l
39.0006 	DATA 	Keypress: l
39.7358 	DATA 	Keypress: space
40.3120 	DATA 	Keypress: l
41.3838 	DATA 	Keypress: l
41.4720 	DATA 	Keypress: space
41.6598 	DATA 	Trial 9 - Stimuli img/target_6.png
44.0718 	DATA 	Keypress: j
44.0795 	DATA 	Keypress: space
44.3593 	DATA 	Trial 10 - Stimuli img/target_10.png
45.9678 	DATA 	Keypress: j
45.9756 	DATA 	Keypress: k
46.2595 	DATA 	Trial 11 - Stimuli img/target_7.png
49.0483 	DATA 	Keypress: space
49.7037 	DATA 	Keypress: space
50.5513 	DATA 	Keypress: k
52.6235 	DATA 	Keypress: space
53.1118 	DATA 	Keypress: k
54.6563 	DATA 	Keypress: space
54.8720 	DATA 	Keypress: k
56.0799 	DATA 	Keypress: space
56.1912 	DATA 	Keypress: k
56.3612 	DATA 	Trial 12 - Stimuli img/target_15.png
59.3362 	DATA 	Keypress: semicolon
59.3916 	DATA 	Keypress: l
59.6274 	DATA 	Trial 13 - Stimuli img/target_13.png
61.6720 	DATA 	Keypress: k
61.6734 	DATA 	Keypress: l
61.9619 	DATA 	Trial 14 - Stimuli img/target_12.png
64.6871 	DATA 	Keypress: semicolon
65.1668 	DATA 	Keypress: semicolon
65.1908 	DATA 	Keypress: j
65.4485 	DATA 	Trial 15 - Stimuli img/target_13.png
66.6470 	DATA 	Keypress: l
66.6548 	DATA 	Keypress: k
66.9458 	DATA 	Trial 16 - Stimuli img/target_9.png
69.9190 	DATA 	Keypress: semicolon
70.5125 	DATA 	Keypress: space
71.2475 	DATA 	Keypress: space
71.2793 	DATA 	Keypress: semicolon
71.5287 	DATA 	Trial 17 - Stimuli img/target_11.png
74.0317 	DATA 	Keypress: l
74.0384 	DATA 	Keypress: j
74.3295 	DATA 	Trial 18 - Stimuli img/target_6.png
76.7515 	DATA 	Keypress: space
76.9264 	DATA 	Keypress: j
77.0463 	DATA 	Trial 19 - Stimuli img/target_8.png
78.9272 	DATA 	Keypress: l
79.4304 	DATA 	Keypress: space
80.5507 	DATA 	Keypress: space
80.5672 	DATA 	Keypress: l
80.8295 	DATA 	Trial 20 - Stimuli img/target_9.png
82.8945 	DATA 	Keypress: space
83.1110 	DATA 	Keypress: semicolon
83.6471 	DATA 	Keypress: space
83.6710 	DATA 	Keypress: semicolon
83.9308 	DATA 	Trial 21 - Stimuli img/target_13.png
86.1664 	DATA 	Keypress: k
86.1749 	DATA 	Keypress: l
86.4642 	DATA 	Trial 22 - Stimuli img/target_12.png
90.3264 	DATA 	Keypress: j
90.3340 	DATA 	Keypress: semicolon
90.6144 	DATA 	Trial 23 - Stimuli img/target_9.png
92.9189 	DATA 	Keypress: space
92.9507 	DATA 	Keypress: semicolon
93.2152 	DATA 	Trial 24 - Stimuli img/target_11.png
96.1107 	DATA 	Keypress: j
96.1184 	DATA 	Keypress: l
96.3988 	DATA 	Trial 25 - Stimuli img/target_8.png
98.6628 	DATA 	Keypress: l
99.3898 	DATA 	Keypress: space
99.9585 	DATA 	Keypress: space
100.4866 	DATA 	Keypress: space
100.5746 	DATA 	Keypress: l
100.7654 	DATA 	Trial 26 - Stimuli img/target_9.png
101.0698 	DATA 	Keypress: l
101.0863 	DATA 	Keypress: space
102.7819 	DATA 	Keypress: semicolon
103.1736 	DATA 	Keypress: space
103.9426 	DATA 	Keypress: space
104.0464 	DATA 	Keypress: semicolon
104.2157 	DATA 	Trial 27 - Stimuli img/target_12.png
106.5584 	DATA 	Keypress: j
106.9738 	DATA 	Keypress: semicolon
107.2462 	DATA 	Keypress: semicolon
107.5824 	DATA 	Keypress: semicolon
108.0620 	DATA 	Keypress: semicolon
108.7500 	DATA 	Keypress: semicolon
108.7974 	DATA 	Keypress: j
109.0162 	DATA 	Trial 28 - Stimuli img/target_7.png
111.5416 	DATA 	Keypress: k
112.5574 	DATA 	Keypress: space
113.3180 	DATA 	Keypress: k
113.3341 	DATA 	Keypress: space
113.5994 	DATA 	Trial 29 - Stimuli img/target_15.png
115.9094 	DATA 	Keypress: semicolon
115.9180 	DATA 	Keypress: l
116.1995 	DATA 	Trial 30 - Stimuli img/target_13.png
117.6940 	DATA 	Keypress: l
117.7253 	DATA 	Keypress: k
117.9844 	DATA 	Trial 31 - Stimuli img/target_8.png
119.1254 	DATA 	Keypress: l
119.5972 	DATA 	Keypress: space
120.7092 	DATA 	Keypress: l
120.7818 	DATA 	Keypress: space
120.9836 	DATA 	Trial 32 - Stimuli img/target_9.png
122.4212 	DATA 	Keypress: semicolon
122.7738 	DATA 	Keypress: space
123.3178 	DATA 	Keypress: semicolon
123.3328 	DATA 	Keypress: space
123.6006 	DATA 	Trial 33 - Stimuli img/target_13.png
125.3096 	DATA 	Keypress: l
125.3810 	DATA 	Keypress: k
125.6044 	DATA 	Trial 34 - Stimuli img/target_9.png
128.3496 	DATA 	Keypress: space
128.4767 	DATA 	Keypress: semicolon
128.6340 	DATA 	Trial 35 - Stimuli img/target_13.png
130.4538 	DATA 	Keypress: k
130.5094 	DATA 	Keypress: l
130.7513 	DATA 	Trial 36 - Stimuli img/target_9.png
131.6528 	DATA 	Keypress: semicolon
132.3411 	DATA 	Keypress: space
132.8768 	DATA 	Keypress: space
132.9970 	DATA 	Keypress: semicolon
133.1524 	DATA 	Trial 37 - Stimuli img/target_13.png
134.5088 	DATA 	Keypress: k
134.5409 	DATA 	Keypress: l
134.8017 	DATA 	Trial 38 - Stimuli img/target_15.png
136.8054 	DATA 	Keypress: semicolon
136.8211 	DATA 	Keypress: l
137.1023 	DATA 	Trial 39 - Stimuli img/target_12.png
138.3168 	DATA 	Keypress: j
138.5004 	DATA 	Keypress: semicolon
138.6184 	DATA 	Trial 40 - Stimuli img/target_15.png
139.6847 	DATA 	Keypress: semicolon
139.7010 	DATA 	Keypress: l
139.9882 	DATA 	Trial 41 - Stimuli img/target_7.png
141.7093 	DATA 	Keypress: k
141.9084 	DATA 	Keypress: space
142.0032 	DATA 	Trial 42 - Stimuli img/target_14.png
143.4853 	DATA 	Keypress: k
143.6612 	DATA 	Keypress: semicolon
143.7861 	DATA 	Trial 43 - Stimuli img/target_7.png
144.6692 	DATA 	Keypress: k
144.8363 	DATA 	Keypress: space
144.9692 	DATA 	Trial 44 - Stimuli img/target_12.png
146.3012 	DATA 	Keypress: j
146.5009 	DATA 	Keypress: semicolon
146.6033 	DATA 	Trial 45 - Stimuli img/target_7.png
147.5404 	DATA 	Keypress: k
147.8929 	DATA 	Keypress: space
149.2210 	DATA 	Keypress: space
149.4280 	DATA 	Keypress: k
151.6042 	DATA 	Keypress: k
152.1168 	DATA 	Keypress: space
155.1889 	DATA 	Keypress: k
155.4278 	DATA 	Keypress: space
157.1088 	DATA 	Keypress: space
160.7159 	DATA 	Keypress: k
160.9965 	DATA 	Keypress: space
161.4362 	DATA 	Keypress: space
161.8198 	DATA 	Keypress: space
162.2362 	DATA 	Keypress: space
163.4037 	DATA 	Keypress: space
165.2922 	DATA 	Keypress: space
165.6515 	DATA 	Keypress: k
168.3156 	DATA 	Keypress: space
168.5564 	DATA 	Keypress: k
170.5962 	DATA 	Keypress: k
171.0197 	DATA 	Keypress: space
171.8034 	DATA 	Keypress: space
172.2203 	DATA 	Keypress: space
172.5154 	DATA 	Keypress: space
172.6760 	DATA 	Keypress: space
172.8601 	DATA 	Keypress: space
173.0273 	DATA 	Keypress: space
173.2034 	DATA 	Keypress: space
173.3719 	DATA 	Keypress: space
174.7394 	DATA 	Keypress: k
175.0916 	DATA 	Keypress: space
177.4603 	DATA 	Keypress: k
177.7153 	DATA 	Keypress: space
178.1317 	DATA 	Keypress: space
178.4920 	DATA 	Keypress: space
187.8910 	DATA 	Keypress: space
188.7393 	DATA 	Keypress: k
190.0995 	DATA 	Keypress: k
190.6748 	DATA 	Keypress: k
191.4427 	DATA 	Keypress: k
236.9373 	DATA 	Keypress: k
237.3772 	DATA 	Keypress: space
239.1215 	DATA 	Keypress: k
239.5531 	DATA 	Keypress: space
241.3533 	DATA 	Keypress: k
241.5620 	DATA 	Keypress: space
242.0250 	DATA 	Keypress: space
243.7609 	DATA 	Keypress: k
244.1217 	DATA 	Keypress: k
244.4817 	DATA 	Keypress: space
244.7695 	DATA 	Keypress: space
245.0258 	DATA 	Keypress: space
245.2330 	DATA 	Keypress: k
246.1691 	DATA 	Keypress: k
246.4091 	DATA 	Keypress: space
246.8569 	DATA 	Keypress: space
247.2656 	DATA 	Keypress: k
248.9370 	DATA 	Keypress: k
248.9528 	DATA 	Keypress: space
249.2130 	DATA 	Trial 46 - Stimuli img/target_12.png
254.5616 	DATA 	Keypress: j
254.5686 	DATA 	Keypress: semicolon
254.8633 	DATA 	Trial 47 - Stimuli img/target_15.png
256.4735 	DATA 	Keypress: l
256.4884 	DATA 	Keypress: semicolon
256.7634 	DATA 	Trial 48 - Stimuli img/target_7.png
260.5454 	DATA 	Keypress: k
260.8971 	DATA 	Keypress: space
261.9692 	DATA 	Keypress: space
262.2243 	DATA 	Keypress: k
264.1211 	DATA 	Keypress: k
264.1282 	DATA 	Keypress: space
264.3990 	DATA 	Trial 49 - Stimuli img/target_12.png
268.6331 	DATA 	Keypress: semicolon
268.6401 	DATA 	Keypress: j
268.9336 	DATA 	Trial 50 - Stimuli img/target_7.png
271.5050 	DATA 	Keypress: k
271.5123 	DATA 	Keypress: space
271.7982 	DATA 	Trial 51 - Stimuli img/target_14.png
274.3370 	DATA 	Keypress: semicolon
274.5919 	DATA 	Keypress: k
275.1768 	DATA 	Keypress: semicolon
275.1845 	DATA 	Keypress: k
275.4485 	DATA 	Trial 52 - Stimuli img/target_10.png
276.7769 	DATA 	Keypress: k
276.7918 	DATA 	Keypress: j
277.0655 	DATA 	Trial 53 - Stimuli img/target_6.png
278.6166 	DATA 	Keypress: space
278.6726 	DATA 	Keypress: j
278.9159 	DATA 	Trial 54 - Stimuli img/target_11.png
282.1199 	DATA 	Keypress: l
282.1364 	DATA 	Keypress: j
282.4159 	DATA 	Trial 55 - Stimuli img/target_8.png
284.6166 	DATA 	Keypress: space
284.6322 	DATA 	Keypress: l
284.9006 	DATA 	Trial 56 - Stimuli img/target_11.png
286.2805 	DATA 	Keypress: l
286.4397 	DATA 	Keypress: j
286.5664 	DATA 	Trial 57 - Stimuli img/target_6.png
288.0636 	DATA 	Keypress: j
288.3046 	DATA 	Keypress: space
289.1035 	DATA 	Keypress: space
289.2717 	DATA 	Keypress: j
289.3833 	DATA 	Trial 58 - Stimuli img/target_14.png
290.7835 	DATA 	Keypress: k
291.5041 	DATA 	Keypress: semicolon
293.8161 	DATA 	Keypress: semicolon
294.3115 	DATA 	Keypress: o
294.3919 	DATA 	Keypress: l
294.4237 	DATA 	Keypress: k
294.9117 	DATA 	Keypress: k
294.9675 	DATA 	Keypress: semicolon
295.1843 	DATA 	Trial 59 - Stimuli img/target_10.png
296.6641 	DATA 	Keypress: j
296.6711 	DATA 	Keypress: k
296.9507 	DATA 	Trial 60 - Stimuli img/target_15.png
298.6481 	DATA 	Keypress: semicolon
298.6798 	DATA 	Keypress: l
298.9370 	DATA 	Trial 61 - Stimuli img/target_13.png
300.3353 	DATA 	Keypress: k
300.3430 	DATA 	Keypress: l
300.6350 	DATA 	Trial 62 - Stimuli img/target_12.png
303.3679 	DATA 	Keypress: semicolon
303.9197 	DATA 	Keypress: j
304.6557 	DATA 	Keypress: j
304.7268 	DATA 	Keypress: semicolon
304.9348 	DATA 	Trial 63 - Stimuli img/target_13.png
306.3671 	DATA 	Keypress: l
306.3914 	DATA 	Keypress: k
306.6514 	DATA 	Trial 64 - Stimuli img/target_15.png
307.6077 	DATA 	Keypress: l
307.6947 	DATA 	Keypress: semicolon
307.9023 	DATA 	Trial 65 - Stimuli img/target_12.png
311.5917 	DATA 	Keypress: j
311.5988 	DATA 	Keypress: semicolon
311.8854 	DATA 	Trial 66 - Stimuli img/target_15.png
313.6068 	DATA 	Keypress: l
313.6146 	DATA 	Keypress: semicolon
313.9032 	DATA 	Trial 67 - Stimuli img/target_7.png
316.9748 	DATA 	Keypress: k
317.4386 	DATA 	Keypress: space
321.8552 	DATA 	Keypress: k
322.0790 	DATA 	Keypress: space
323.4150 	DATA 	Keypress: k
323.6222 	DATA 	Keypress: space
325.8624 	DATA 	Keypress: k
326.2310 	DATA 	Keypress: space
326.9429 	DATA 	Keypress: space
329.6543 	DATA 	Keypress: space
329.6620 	DATA 	Keypress: k
329.9379 	DATA 	Trial 68 - Stimuli img/target_15.png
332.2463 	DATA 	Keypress: l
332.4299 	DATA 	Keypress: semicolon
332.5380 	DATA 	Trial 69 - Stimuli img/target_12.png
334.6140 	DATA 	Keypress: j
334.8465 	DATA 	Keypress: semicolon
338.9740 	DATA 	Keypress: semicolon
338.9817 	DATA 	Keypress: j
339.2553 	DATA 	Trial 70 - Stimuli img/target_15.png
339.5339 	DATA 	Keypress: j
341.5185 	DATA 	Keypress: l
341.5581 	DATA 	Keypress: semicolon
341.7888 	DATA 	Trial 71 - Stimuli img/target_10.png
343.7977 	DATA 	Keypress: k
343.8463 	DATA 	Keypress: j
344.0888 	DATA 	Trial 72 - Stimuli img/target_7.png
345.8705 	DATA 	Keypress: k
346.2865 	DATA 	Keypress: space
347.5504 	DATA 	Keypress: space
347.6136 	DATA 	Keypress: k
347.8231 	DATA 	Trial 73 - Stimuli img/target_12.png
351.0944 	DATA 	Keypress: semicolon
351.1981 	DATA 	Keypress: j
351.3896 	DATA 	Trial 74 - Stimuli img/target_13.png
353.0455 	DATA 	Keypress: k
353.0534 	DATA 	Keypress: l
353.3396 	DATA 	Trial 75 - Stimuli img/target_12.png
354.2222 	DATA 	Keypress: semicolon
354.7013 	DATA 	Keypress: j
357.4534 	DATA 	Keypress: semicolon
357.8931 	DATA 	Keypress: j
362.3494 	DATA 	Keypress: j
