respL,path,trialNum,pID,respR,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,order
"['s', 'd']",img/target_10.png,1,1,"['j', 'k']",1,0.05000000074505806,0.0,0.00658106803894043,"['j', 'k']",3.197783946990967,0.0
"['a', 'd']",img/target_7.png,2,1,"['space', 'k']",2,0.05000000074505806,1.0,18.375972747802734,"['k', 'space']",3.3647990226745605,1.0
"['f', 'space']",img/target_15.png,3,1,"['l', 'semicolon']",3,0.05000000074505806,0.0,21.825424194335938,"['l', 'semicolon']",1.3475329875946045,2.0
"['s', 'space']",img/target_12.png,4,1,"['j', 'semicolon']",4,0.05000000074505806,1.0,28.809438705444336,"['j', 'semicolon']",5.601974964141846,3.0
"['d', 'f']",img/target_13.png,5,1,"['k', 'l']",5,0.05000000074505806,0.0,34.5100212097168,"['k', 'l']",1.7660949230194092,4.0
"['a', 'space']",img/target_9.png,6,1,"['space', 'semicolon']",6,0.05000000074505806,0.0,40.87568664550781,"['semicolon', 'space']",5.336017608642578,5.0
"['a', 'f']",img/target_8.png,7,1,"['space', 'l']",7,0.05000000074505806,0.0,52.02953338623047,"['l', 'space']",2.3170619010925293,6.0
"['s', 'f']",img/target_11.png,8,1,"['j', 'l']",8,0.05000000074505806,1.0,58.712738037109375,"['j', 'l']",4.283751964569092,7.0
"['a', 's']",img/target_6.png,9,1,"['space', 'j']",9,0.05000000074505806,0.0,63.09478759765625,"['j', 'space']",2.252645969390869,8.0
"['d', 'space']",img/target_14.png,10,1,"['k', 'semicolon']",10,0.05000000074505806,1.0,68.863525390625,"['k', 'semicolon']",5.298457145690918,9.0
