respL,graph,trialNum,path,pID,respR,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,order
"['s', 'space']",modular,1,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,0.006302833557128906,"['s', 'space']",2.049031972885132,0.0
"['a', 'space']",modular,2,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,2.172247886657715,"['a', 'space']",0.99605393409729,1.0
"['f', 'space']",modular,3,img/target_15.png,48,"['l', 'semicolon']",4,0.05000000074505806,0.0,3.2554008960723877,"['f', 'space']",0.8640930652618408,2.0
"['a', 'd']",modular,4,img/target_7.png,48,"['space', 'k']",1,0.05000000074505806,1.0,5.405061721801758,"['a', 'd']",0.9710988998413086,3.0
"['f', 'space']",modular,5,img/target_15.png,48,"['l', 'semicolon']",4,0.05000000074505806,1.0,6.472692966461182,"['f', 'space']",0.7662880420684814,4.0
"['a', 'space']",modular,6,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,7.33984899520874,"['a', 'space']",0.6591649055480957,5.0
"['s', 'f']",modular,7,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,8.091381072998047,"['f', 's']",0.9716100692749023,6.0
"['s', 'space']",modular,8,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,9.156913757324219,"['s', 'space']",1.050717830657959,7.0
"['s', 'f']",modular,9,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,10.305120468139648,"['f', 's']",0.693666934967041,8.0
"['a', 's']",modular,10,img/target_6.png,48,"['space', 'j']",9,0.05000000074505806,1.0,11.088768005371094,"['a', 's']",0.7112178802490234,9.0
"['s', 'd']",modular,11,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,11.888660430908203,"['d', 's']",0.7353370189666748,10.0
"['a', 'space']",modular,12,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,12.722034454345703,"['a', 'space']",0.7418398857116699,11.0
"['s', 'f']",modular,13,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,13.555980682373047,"['f', 's']",1.018765926361084,12.0
"['a', 's']",modular,14,img/target_6.png,48,"['space', 'j']",9,0.05000000074505806,1.0,14.672338485717773,"['a', 's']",0.8155169486999512,13.0
"['d', 'space']",modular,15,img/target_14.png,48,"['k', 'semicolon']",0,0.05000000074505806,1.0,15.572044372558594,"['d', 'space']",0.890625,14.0
"['a', 'd']",modular,16,img/target_7.png,48,"['space', 'k']",1,0.05000000074505806,1.0,16.55720329284668,"['a', 'd']",1.0416200160980225,15.0
"['a', 'f']",modular,17,img/target_8.png,48,"['space', 'l']",3,0.05000000074505806,1.0,17.688739776611328,"['a', 'f']",0.7660081386566162,16.0
"['d', 'space']",modular,18,img/target_14.png,48,"['k', 'semicolon']",0,0.05000000074505806,1.0,18.556310653686523,"['d', 'space']",0.7310209274291992,17.0
"['a', 'f']",modular,19,img/target_8.png,48,"['space', 'l']",3,0.05000000074505806,1.0,19.389297485351562,"['a', 'f']",0.9303450584411621,18.0
"['a', 'd']",modular,20,img/target_7.png,48,"['space', 'k']",1,0.05000000074505806,1.0,20.40619468688965,"['a', 'd']",0.7763419151306152,19.0
"['a', 'f']",modular,21,img/target_8.png,48,"['space', 'l']",3,0.05000000074505806,1.0,21.27222442626953,"['a', 'f']",0.7271060943603516,20.0
"['d', 'f']",modular,22,img/target_13.png,48,"['k', 'l']",2,0.05000000074505806,1.0,22.09046745300293,"['d', 'f']",0.6200659275054932,21.0
"['a', 'd']",modular,23,img/target_7.png,48,"['space', 'k']",1,0.05000000074505806,1.0,22.808692932128906,"['a', 'd']",0.8389110565185547,22.0
"['f', 'space']",modular,24,img/target_15.png,48,"['l', 'semicolon']",4,0.05000000074505806,1.0,23.739646911621094,"['f', 'space']",0.7796800136566162,23.0
"['a', 'f']",modular,25,img/target_8.png,48,"['space', 'l']",3,0.05000000074505806,1.0,24.62366485595703,"['a', 'f']",0.7586479187011719,24.0
"['f', 'space']",modular,26,img/target_15.png,48,"['l', 'semicolon']",4,0.05000000074505806,1.0,25.472761154174805,"['f', 'space']",0.6777009963989258,25.0
"['a', 'f']",modular,27,img/target_8.png,48,"['space', 'l']",3,0.05000000074505806,1.0,26.23967742919922,"['a', 'f']",0.7434329986572266,26.0
"['d', 'space']",modular,28,img/target_14.png,48,"['k', 'semicolon']",0,0.05000000074505806,1.0,27.07304573059082,"['d', 'space']",0.7892618179321289,27.0
"['a', 's']",modular,29,img/target_6.png,48,"['space', 'j']",9,0.05000000074505806,1.0,27.95746421813965,"['a', 's']",0.7289760112762451,28.0
"['d', 'space']",modular,30,img/target_14.png,48,"['k', 'semicolon']",0,0.05000000074505806,1.0,28.773235321044922,"['d', 'space']",0.7050900459289551,29.0
"['a', 'f']",modular,31,img/target_8.png,48,"['space', 'l']",3,0.05000000074505806,1.0,29.574140548706055,"['a', 'f']",0.6640238761901855,30.0
"['f', 'space']",modular,32,img/target_15.png,48,"['l', 'semicolon']",4,0.05000000074505806,1.0,30.341020584106445,"['f', 'space']",0.7212162017822266,31.0
"['a', 'd']",modular,33,img/target_7.png,48,"['space', 'k']",1,0.05000000074505806,1.0,31.157634735107422,"['a', 'd']",0.6653578281402588,32.0
"['d', 'f']",modular,34,img/target_13.png,48,"['k', 'l']",2,0.05000000074505806,1.0,31.907329559326172,"['d', 'f']",0.8108170032501221,33.0
"['a', 'f']",modular,35,img/target_8.png,48,"['space', 'l']",3,0.05000000074505806,1.0,32.807456970214844,"['a', 'f']",0.9915511608123779,34.0
"['d', 'f']",modular,36,img/target_13.png,48,"['k', 'l']",2,0.05000000074505806,1.0,33.89072036743164,"['d', 'f']",0.6833539009094238,35.0
"['a', 'd']",modular,37,img/target_7.png,48,"['space', 'k']",1,0.05000000074505806,1.0,34.65717697143555,"['a', 'd']",0.7260339260101318,36.0
"['d', 'f']",modular,38,img/target_13.png,48,"['k', 'l']",2,0.05000000074505806,1.0,35.47441101074219,"['d', 'f']",0.6121881008148193,37.0
"['d', 'space']",modular,39,img/target_14.png,48,"['k', 'semicolon']",0,0.05000000074505806,1.0,36.17377471923828,"['d', 'space']",0.7051198482513428,38.0
"['a', 's']",modular,40,img/target_6.png,48,"['space', 'j']",9,0.05000000074505806,0.0,36.973724365234375,"['a', 's']",0.6169657707214355,39.0
"['s', 'space']",modular,41,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,38.29091262817383,"['s', 'space']",1.0039479732513428,40.0
"['a', 'space']",modular,42,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,0.0,39.39155578613281,"['a', 'space']",0.8634231090545654,41.0
"['s', 'd']",modular,43,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,41.94227600097656,"['d', 's']",0.7354550361633301,42.0
"['a', 's']",modular,44,img/target_6.png,48,"['space', 'j']",9,0.05000000074505806,1.0,42.775577545166016,"['a', 's']",0.6941430568695068,43.0
"['s', 'f']",modular,45,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,43.55909729003906,"['f', 's']",1.0787482261657715,44.0
"['a', 's']",modular,46,img/target_6.png,48,"['space', 'j']",9,0.05000000074505806,1.0,44.726043701171875,"['a', 's']",0.6405370235443115,45.0
"['s', 'f']",modular,47,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,45.459129333496094,"['f', 's']",0.8111999034881592,46.0
"['a', 'space']",modular,48,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,46.358463287353516,"['a', 'space']",0.6643011569976807,47.0
"['s', 'space']",modular,49,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,0.0,47.125492095947266,"['s', 'space']",0.6412949562072754,48.0
"['s', 'f']",modular,50,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,48.408287048339844,"['f', 's']",0.8052258491516113,49.0
"['s', 'space']",modular,51,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,49.30929946899414,"['s', 'space']",0.7132568359375,50.0
"['s', 'd']",modular,52,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,50.12512969970703,"['d', 's']",0.6322188377380371,51.0
"['s', 'space']",modular,53,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,50.85962677001953,"['s', 'space']",0.691176176071167,52.0
"['s', 'f']",modular,54,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,51.642478942871094,"['f', 's']",0.7076971530914307,53.0
"['a', 'space']",modular,55,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,52.44265365600586,"['a', 'space']",0.731748104095459,54.0
"['f', 'space']",modular,56,img/target_15.png,48,"['l', 'semicolon']",4,0.05000000074505806,1.0,53.25984573364258,"['f', 'space']",0.8826749324798584,55.0
"['a', 'd']",modular,57,img/target_7.png,48,"['space', 'k']",1,0.05000000074505806,1.0,54.24304962158203,"['a', 'd']",0.8743391036987305,56.0
"['d', 'f']",modular,58,img/target_13.png,48,"['k', 'l']",2,0.05000000074505806,1.0,55.20986557006836,"['d', 'f']",0.6994040012359619,57.0
"['a', 'd']",modular,59,img/target_7.png,48,"['space', 'k']",1,0.05000000074505806,0.0,56.00933074951172,"['a', 'd']",0.5720791816711426,58.0
"['a', 'f']",modular,60,img/target_8.png,48,"['space', 'l']",3,0.05000000074505806,1.0,57.37596130371094,"['a', 'f']",0.7653892040252686,59.0
"['a', 'd']",modular,61,img/target_7.png,48,"['space', 'k']",1,0.05000000074505806,0.0,58.24320983886719,"['a', 'd']",0.8178749084472656,60.0
"['d', 'space']",modular,62,img/target_14.png,48,"['k', 'semicolon']",0,0.05000000074505806,1.0,59.77724838256836,"['d', 'space']",0.8288018703460693,61.0
"['a', 'f']",modular,63,img/target_8.png,48,"['space', 'l']",3,0.05000000074505806,0.0,60.69284439086914,"['a', 'f']",0.737220048904419,62.0
"['a', 'd']",modular,64,img/target_7.png,48,"['space', 'k']",1,0.05000000074505806,1.0,61.92612075805664,"['a', 'd']",0.9028210639953613,63.0
"['d', 'space']",modular,65,img/target_14.png,48,"['k', 'semicolon']",0,0.05000000074505806,1.0,62.927364349365234,"['d', 'space']",0.7895340919494629,64.0
"['a', 's']",modular,66,img/target_6.png,48,"['space', 'j']",9,0.05000000074505806,1.0,63.81037139892578,"['a', 's']",0.7225339412689209,65.0
