graph,trialNum,resp,path,pID,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,typing_raw,order
lattice,1,i,img/target_8.png,1,5,0.05000000074505806,1.0,0.009892940521240234,['i'],2.8319740295410156,a,0.0
lattice,2,p,img/target_10.png,1,6,0.05000000074505806,1.0,2.942291021347046,['p'],0.8031220436096191,a,1.0
lattice,3,w,img/target_2.png,1,4,0.05000000074505806,1.0,3.840481996536255,['w'],0.9858660697937012,a,2.0
lattice,4,q,img/target_1.png,1,2,0.05000000074505806,1.0,4.9255290031433105,['q'],0.9000530242919922,a,3.0
lattice,5,v,img/target_5.png,1,1,0.05000000074505806,1.0,5.923240661621094,['v'],1.0782239437103271,a,4.0
lattice,6,q,img/target_1.png,1,2,0.05000000074505806,1.0,7.087798118591309,['q'],0.945559024810791,a,5.0
lattice,7,b,img/target_6.png,1,0,0.05000000074505806,1.0,8.124187469482422,['b'],1.1501569747924805,a,6.0
lattice,8,u,img/target_7.png,1,8,0.05000000074505806,1.0,9.375814437866211,['u'],0.8665609359741211,a,7.0
lattice,9,b,img/target_6.png,1,0,0.05000000074505806,1.0,10.337892532348633,['b'],0.7522099018096924,a,8.0
lattice,10,u,img/target_7.png,1,8,0.05000000074505806,1.0,11.18758487701416,['u'],0.581672191619873,a,9.0
lattice,11,r,img/target_4.png,1,9,0.05000000074505806,1.0,11.874979972839355,['r'],0.7342150211334229,a,10.0
lattice,12,e,img/target_3.png,1,7,0.05000000074505806,1.0,12.709087371826172,['e'],0.6526241302490234,a,11.0
lattice,13,p,img/target_10.png,1,6,0.05000000074505806,1.0,13.455659866333008,['p'],0.8101520538330078,a,12.0
lattice,14,u,img/target_7.png,1,8,0.05000000074505806,1.0,14.357635498046875,['u'],1.0037710666656494,a,13.0
lattice,15,b,img/target_6.png,1,0,0.05000000074505806,1.0,15.457185745239258,['b'],0.7359950542449951,a,14.0
lattice,16,u,img/target_7.png,1,8,0.05000000074505806,1.0,16.288177490234375,['u'],0.8089799880981445,a,15.0
lattice,17,e,img/target_3.png,1,7,0.05000000074505806,1.0,17.19021987915039,['e'],1.3870980739593506,a,16.0
lattice,18,r,img/target_4.png,1,9,0.05000000074505806,1.0,18.674009323120117,['r'],0.7997901439666748,a,17.0
lattice,19,v,img/target_5.png,1,1,0.05000000074505806,1.0,19.574129104614258,['v'],1.1229801177978516,a,18.0
lattice,20,b,img/target_6.png,1,0,0.05000000074505806,0.0,20.78965187072754,['b'],2.4352359771728516,a,19.0
lattice,21,v,img/target_5.png,1,1,0.05000000074505806,1.0,23.3056583404541,['v'],0.743060827255249,a,20.0
lattice,22,o,img/target_9.png,1,3,0.05000000074505806,1.0,24.142412185668945,['o'],0.9634110927581787,a,21.0
lattice,23,i,img/target_8.png,1,5,0.05000000074505806,1.0,25.20657730102539,['i'],1.930771827697754,a,22.0
lattice,24,w,img/target_2.png,1,4,0.05000000074505806,1.0,27.22267723083496,['w'],1.035125970840454,a,23.0
lattice,25,q,img/target_1.png,1,2,0.05000000074505806,1.0,28.35690689086914,['q'],0.6847419738769531,a,24.0
lattice,26,o,img/target_9.png,1,3,0.05000000074505806,1.0,29.140695571899414,['o'],1.3169658184051514,a,25.0
lattice,27,w,img/target_2.png,1,4,0.05000000074505806,1.0,30.559404373168945,['w'],0.7377941608428955,a,26.0
lattice,28,p,img/target_10.png,1,6,0.05000000074505806,1.0,31.390865325927734,['p'],1.4825148582458496,a,27.0
lattice,29,e,img/target_3.png,1,7,0.05000000074505806,0.0,32.973201751708984,['e'],1.7081570625305176,a,28.0
lattice,30,u,img/target_7.png,1,8,0.05000000074505806,1.0,34.757835388183594,['u'],0.6746571063995361,a,29.0
lattice,31,p,img/target_10.png,1,6,0.05000000074505806,1.0,35.5243034362793,['p'],0.7009580135345459,a,30.0
lattice,32,w,img/target_2.png,1,4,0.05000000074505806,1.0,36.32338333129883,['w'],0.8931539058685303,a,31.0
lattice,33,q,img/target_1.png,1,2,0.05000000074505806,1.0,37.306941986083984,['q'],1.1733388900756836,a,32.0
lattice,34,w,img/target_2.png,1,4,0.05000000074505806,1.0,38.574466705322266,['w'],0.858867883682251,a,33.0
lattice,35,i,img/target_8.png,1,5,0.05000000074505806,0.0,39.52442932128906,['i'],1.7645609378814697,a,34.0
lattice,36,p,img/target_10.png,1,6,0.05000000074505806,1.0,41.37425994873047,['p'],0.8018109798431396,a,35.0
lattice,37,e,img/target_3.png,1,7,0.05000000074505806,0.0,42.27499008178711,['e'],2.9570438861846924,a,36.0
lattice,38,r,img/target_4.png,1,9,0.05000000074505806,1.0,45.30774688720703,['r'],1.628938913345337,a,37.0
lattice,39,v,img/target_5.png,1,1,0.05000000074505806,1.0,47.025699615478516,['v'],1.4149301052093506,a,38.0
lattice,40,q,img/target_1.png,1,2,0.05000000074505806,0.0,48.54146957397461,['q'],1.643347978591919,a,39.0
lattice,41,b,img/target_6.png,1,0,0.05000000074505806,1.0,50.258544921875,['b'],1.7013518810272217,a,40.0
lattice,42,r,img/target_4.png,1,9,0.05000000074505806,1.0,52.058204650878906,['r'],0.8617181777954102,a,41.0
lattice,43,v,img/target_5.png,1,1,0.05000000074505806,1.0,53.00929641723633,['v'],1.3184549808502197,a,42.0
lattice,44,q,img/target_1.png,1,2,0.05000000074505806,1.0,54.42745590209961,['q'],1.2611300945281982,a,43.0
lattice,45,o,img/target_9.png,1,3,0.05000000074505806,0.0,55.77867126464844,['o'],4.453699111938477,a,44.0
lattice,46,w,img/target_2.png,1,4,0.05000000074505806,1.0,60.314476013183594,['w'],1.6539428234100342,a,45.0
lattice,47,o,img/target_9.png,1,3,0.05000000074505806,1.0,62.059322357177734,['o'],1.5006420612335205,a,46.0
lattice,48,i,img/target_8.png,1,5,0.05000000074505806,1.0,63.6599006652832,['i'],2.059468984603882,a,47.0
lattice,49,p,img/target_10.png,1,6,0.05000000074505806,1.0,65.81034088134766,['p'],1.0290350914001465,a,48.0
lattice,50,w,img/target_2.png,1,4,0.05000000074505806,1.0,66.92613220214844,['w'],0.802297830581665,a,49.0
lattice,51,q,img/target_1.png,1,2,0.05000000074505806,1.0,67.82654571533203,['q'],0.8368170261383057,a,50.0
lattice,52,b,img/target_6.png,1,0,0.05000000074505806,1.0,68.76024627685547,['b'],1.070958137512207,a,51.0
lattice,53,u,img/target_7.png,1,8,0.05000000074505806,1.0,69.92710876464844,['u'],0.9924640655517578,a,52.0
lattice,54,e,img/target_3.png,1,7,0.05000000074505806,0.0,71.01116943359375,['e'],1.9084341526031494,a,53.0
lattice,55,p,img/target_10.png,1,6,0.05000000074505806,1.0,72.99564361572266,['p'],2.02833890914917,a,54.0
lattice,56,w,img/target_2.png,1,4,0.05000000074505806,1.0,75.11239624023438,['w'],0.9347751140594482,a,55.0
lattice,57,p,img/target_10.png,1,6,0.05000000074505806,1.0,76.14693450927734,['p'],1.0124261379241943,a,56.0
lattice,58,u,img/target_7.png,1,8,0.05000000074505806,1.0,77.2647705078125,['u'],1.022834062576294,a,57.0
lattice,59,p,img/target_10.png,1,6,0.05000000074505806,1.0,78.3802261352539,['p'],0.8346929550170898,a,58.0
lattice,60,e,img/target_3.png,1,7,0.05000000074505806,1.0,79.31083679199219,['e'],1.3120861053466797,a,59.0
lattice,61,u,img/target_7.png,1,8,0.05000000074505806,1.0,80.71214294433594,['u'],1.3276958465576172,a,60.0
lattice,62,r,img/target_4.png,1,9,0.05000000074505806,1.0,82.12787628173828,['r'],0.9110190868377686,a,61.0
lattice,63,e,img/target_3.png,1,7,0.05000000074505806,1.0,83.12849426269531,['e'],1.2550411224365234,a,62.0
lattice,64,r,img/target_4.png,1,9,0.05000000074505806,0.0,84.47845458984375,['r'],6.472167015075684,a,63.0
lattice,65,b,img/target_6.png,1,0,0.05000000074505806,0.0,91.02925872802734,['b'],3.697158098220825,a,64.0
lattice,66,v,img/target_5.png,1,1,0.05000000074505806,1.0,94.79544830322266,['v'],0.8993179798126221,a,65.0
lattice,67,r,img/target_4.png,1,9,0.05000000074505806,1.0,95.79776763916016,['r'],0.7691290378570557,a,66.0
lattice,68,v,img/target_5.png,1,1,0.05000000074505806,1.0,96.6623764038086,['v'],0.8001079559326172,a,67.0
lattice,69,o,img/target_9.png,1,3,0.05000000074505806,1.0,97.56718444824219,['o'],1.8870949745178223,a,68.0
lattice,70,i,img/target_8.png,1,5,0.05000000074505806,1.0,99.5463638305664,['i'],1.1321258544921875,a,69.0
lattice,71,o,img/target_9.png,1,3,0.05000000074505806,1.0,100.7804183959961,['o'],1.8505849838256836,a,70.0
lattice,72,i,img/target_8.png,1,5,0.05000000074505806,1.0,102.73335266113281,['i'],1.8327460289001465,a,71.0
lattice,73,o,img/target_9.png,1,3,0.05000000074505806,1.0,104.66333770751953,['o'],1.1195781230926514,a,72.0
lattice,74,w,img/target_2.png,1,4,0.05000000074505806,1.0,105.88081359863281,['w'],1.1651499271392822,a,73.0
lattice,75,p,img/target_10.png,1,6,0.05000000074505806,1.0,107.13143157958984,['p'],1.3148689270019531,a,74.0
lattice,76,u,img/target_7.png,1,8,0.05000000074505806,1.0,108.54704284667969,['u'],1.3069701194763184,a,75.0
lattice,77,p,img/target_10.png,1,6,0.05000000074505806,1.0,109.94725799560547,['p'],3.2905941009521484,a,76.0
lattice,78,w,img/target_2.png,1,4,0.05000000074505806,1.0,113.33085632324219,['w'],0.7474241256713867,a,77.0
lattice,79,i,img/target_8.png,1,5,0.05000000074505806,1.0,114.16707611083984,['i'],1.61468505859375,a,78.0
lattice,80,o,img/target_9.png,1,3,0.05000000074505806,1.0,115.88421630859375,['o'],1.0575320720672607,a,79.0
lattice,81,w,img/target_2.png,1,4,0.05000000074505806,1.0,117.03236389160156,['w'],1.1732590198516846,a,80.0
lattice,82,o,img/target_9.png,1,3,0.05000000074505806,1.0,118.299560546875,['o'],1.8181347846984863,a,81.0
lattice,83,v,img/target_5.png,1,1,0.05000000074505806,1.0,120.21553802490234,['v'],1.0069711208343506,a,82.0
lattice,84,o,img/target_9.png,1,3,0.05000000074505806,1.0,121.31581115722656,['o'],3.7536401748657227,a,83.0
lattice,85,i,img/target_8.png,1,5,0.05000000074505806,1.0,125.16567993164062,['i'],1.8876409530639648,a,84.0
lattice,86,w,img/target_2.png,1,4,0.05000000074505806,1.0,127.14983367919922,['w'],0.8873670101165771,a,85.0
lattice,87,o,img/target_9.png,1,3,0.05000000074505806,1.0,128.13250732421875,['o'],1.1854438781738281,a,86.0
lattice,88,i,img/target_8.png,1,5,0.05000000074505806,1.0,129.415771484375,['i'],1.0374760627746582,a,87.0
lattice,89,w,img/target_2.png,1,4,0.05000000074505806,1.0,130.54916381835938,['w'],0.7118690013885498,a,88.0
lattice,90,p,img/target_10.png,1,6,0.05000000074505806,1.0,131.3492431640625,['p'],1.295827865600586,a,89.0
lattice,91,e,img/target_3.png,1,7,0.05000000074505806,1.0,132.7333984375,['e'],1.6007118225097656,a,90.0
lattice,92,i,img/target_8.png,1,5,0.05000000074505806,1.0,134.43284606933594,['i'],1.5242149829864502,a,91.0
lattice,93,o,img/target_9.png,1,3,0.05000000074505806,1.0,136.05010986328125,['o'],1.0907938480377197,a,92.0
lattice,94,q,img/target_1.png,1,2,0.05000000074505806,1.0,137.2338409423828,['q'],1.1639018058776855,a,93.0
lattice,95,b,img/target_6.png,1,0,0.05000000074505806,1.0,138.50006103515625,['b'],1.5048699378967285,a,94.0
lattice,96,u,img/target_7.png,1,8,0.05000000074505806,1.0,140.1000518798828,['u'],0.7850971221923828,a,95.0
lattice,97,b,img/target_6.png,1,0,0.05000000074505806,1.0,140.98423767089844,['b'],0.8693711757659912,a,96.0
lattice,98,v,img/target_5.png,1,1,0.05000000074505806,1.0,141.95111083984375,['v'],0.8139410018920898,a,97.0
lattice,99,r,img/target_4.png,1,9,0.05000000074505806,1.0,142.85360717773438,['r'],0.8795928955078125,a,98.0
lattice,100,b,img/target_6.png,1,0,0.05000000074505806,1.0,143.83470153808594,['b'],0.8979208469390869,a,99.0
lattice,101,r,img/target_4.png,1,9,0.05000000074505806,1.0,144.8179931640625,['r'],1.06766676902771,a,100.0
lattice,102,e,img/target_3.png,1,7,0.05000000074505806,1.0,145.98619079589844,['e'],1.1233770847320557,a,101.0
lattice,103,u,img/target_7.png,1,8,0.05000000074505806,1.0,147.20118713378906,['u'],0.820479154586792,a,102.0
lattice,104,b,img/target_6.png,1,0,0.05000000074505806,1.0,148.11822509765625,['b'],0.9343881607055664,a,103.0
lattice,105,r,img/target_4.png,1,9,0.05000000074505806,1.0,149.15184020996094,['r'],0.7573509216308594,a,104.0
lattice,106,e,img/target_3.png,1,7,0.05000000074505806,1.0,150.0038604736328,['e'],1.008944034576416,a,105.0
lattice,107,r,img/target_4.png,1,9,0.05000000074505806,1.0,151.1048583984375,['r'],0.8362789154052734,a,106.0
lattice,108,e,img/target_3.png,1,7,0.05000000074505806,1.0,152.03756713867188,['e'],1.3756251335144043,a,107.0
lattice,109,r,img/target_4.png,1,9,0.05000000074505806,1.0,153.50338745117188,['r'],0.8209929466247559,a,108.0
lattice,110,e,img/target_3.png,1,7,0.05000000074505806,1.0,154.4204559326172,['e'],1.0089161396026611,a,109.0
lattice,111,r,img/target_4.png,1,9,0.05000000074505806,1.0,155.5223846435547,['r'],0.9946250915527344,a,110.0
